year,state,total,male,female
2008,MI,48738,46781,1957
2008,MN,9910,9240,670
2008,MS,22754,20773,1981
2008,MO,30186,27737,2449
2008,MT,3517,3158,359
2008,NE,4520,4130,390
2008,NV,12743,11761,982
2008,NH,2702,2521,181
2008,NJ,25953,24654,1299
2008,NM,6322,5754,568
2008,NY,60347,57760,2587
2008,NC,39482,36704,2778
2008,ND,1452,1292,160
2008,OH,51686,47773,3913
2008,OK,24660,22165,2495
2008,OR,14167,13058,1109
2008,PA,49215,46451,2764
2008,RI,4045,3802,243
2008,SC,24326,22693,1633
2008,SD,3342,2987,355
2008,TN,27228,25099,2129
2008,TX,172506,158653,13853
2008,UT,6552,5912,640
2008,VT,2116,1998,118
2008,VA,38216,35249,2967
2008,WA,17926,16522,1404
2008,WV,6059,5411,648
2008,WI,23379,22022,1357
2008,WY,2084,1876,208
2008,ST,1407002,1305663,101339
2008,US,1608282,1493670,114612
2008,FE,201280,188007,13273
2009,AL,31874,29419,2455
2009,AK,5285,4696,589
2009,AZ,40544,36768,3776
2009,AR,15208,14147,1061
2009,CA,171275,160286,10989
2009,CO,22795,20694,2101
2009,CT,19716,18381,1335
2009,DE,6775,6284,491
2009,DC,-16,-8,-8
2009,FL,103915,96632,7283
2009,GA,56986,53063,3923
2009,HI,5891,5190,701
2009,ID,7400,6656,744
2009,IL,45161,42571,2590
2009,IN,28808,26302,2506
2009,IA,8813,8090,723
2009,KS,8641,8076,565
2009,KY,21638,19343,2295
2009,LA,39780,37164,2616
2009,ME,2206,2048,158
2009,MD,22255,21206,1049
2009,MA,11316,10597,719
2009,MI,45478,43723,1755
2009,MN,9986,9312,674
2009,MS,21482,19747,1735
2009,MO,30563,28136,2427
2009,MT,3605,3214,391
2009,NE,4474,4108,366
2009,NV,12482,11533,949
2009,NH,2731,2564,167
2009,NJ,25382,24176,1206
2009,NM,6363,5775,588
2009,NY,58687,56198,2489
2009,NC,39860,37052,2808
2009,ND,1486,1312,174
2009,OH,51606,47617,3989
2009,OK,24803,22230,2573
2009,OR,14403,13278,1125
2009,PA,51429,48601,2828
2009,RI,3674,3444,230
2009,SC,24288,22771,1517
2009,SD,3434,3054,380
2009,TN,26965,24956,2009
2009,TX,171249,157679,13570
2009,UT,6538,5956,582
2009,VT,2220,2065,155
2009,VA,38059,35156,2903
2009,WA,18233,16836,1397
2009,WV,6367,5683,684
2009,WI,23165,21859,1306
2009,WY,2075,1861,214
2009,ST,1407369,1307509,99860
2009,US,1615487,1502002,113485
2009,FE,208118,194493,13625
2010,AL,31764,29261,2503
2010,AK,5391,4782,609
2010,AZ,40209,36521,3688
2010,AR,16204,15040,1164
2010,CA,165062,155104,9958
2010,CO,22815,20763,2052
2010,CT,19321,18075,1246
2010,DE,6615,6149,466
2010,DC,-16,-8,-8
2010,FL,104306,96956,7350
2010,GA,56432,52598,3834
2010,HI,5912,5184,728
2010,ID,7431,6621,810
2010,IL,48418,45496,2922
2010,IN,28028,25522,2506
2010,IA,9455,8675,780
2010,KS,9051,8428,623
2010,KY,20544,18406,2138
2010,LA,39445,37037,2408
2010,ME,2154,1988,166
2010,MD,22645,21686,959
2010,MA,11313,10547,766
2010,MI,44165,42296,1869
2010,MN,9796,9158,638
2010,MS,21067,19542,1525
2010,MO,30623,28163,2460
2010,MT,3716,3291,425
2010,NE,4587,4176,411
2010,NV,12653,11689,964
2010,NH,2761,2560,201
2010,NJ,25007,23871,1136
2010,NM,6763,6161,602
2010,NY,56656,54438,2218
2010,NC,40382,37563,2819
2010,ND,1487,1308,179
2010,OH,51712,47720,3992
2010,OK,26252,23703,2549
2010,OR,14876,13745,1131
2010,PA,51264,48552,2712
2010,RI,3357,3139,218
2010,SC,23578,22105,1473
2010,SD,3434,3023,411
2010,TN,27451,25345,2106
2010,TX,173649,159298,14351
2010,UT,6807,6199,608
2010,VT,2079,1930,149
2010,VA,37638,34790,2848
2010,WA,18235,16808,1427
2010,WV,6681,5956,725
2010,WI,22729,21465,1264
2010,WY,2112,1881,231
2010,ST,1404032,1304714,99318
2010,US,1613803,1500936,112867
2010,FE,209771,196222,13549
2011,AL,32270,29696,2574
2011,AK,5597,4932,665
2011,AZ,40020,36470,3550
2011,AR,16108,14995,1113
2011,CA,149569,141382,8187
2011,CO,21978,19957,2021
2011,CT,18324,17090,1234
2011,DE,6739,6202,537
2011,DC,-16,-8,-8
2011,FL,103055,95913,7142
2011,GA,55944,52027,3917
2011,HI,6037,5304,733
2011,ID,7739,6854,885
2011,IL,48427,45562,2865
2011,IN,28906,26406,2500
2011,IA,9116,8378,738
2011,KS,9327,8647,680
2011,KY,21545,19091,2454
2011,LA,39710,37326,2384
2011,ME,2145,1981,164
2011,MD,22558,21576,982
2011,MA,11623,10832,791
2011,MI,42940,41031,1909
2011,MN,9800,9156,644
2011,MS,21386,19808,1578
2011,MO,30833,28258,2575
2011,MT,3678,3274,404
2011,NE,4616,4247,369
2011,NV,12778,11811,967
2011,NH,2614,2444,170
2011,NJ,23834,22762,1072
2011,NM,6998,6366,632
2011,NY,55436,53124,2312
2011,NC,39440,36800,2640
2011,ND,1423,1276,147
2011,OH,50964,47061,3903
2011,OK,25977,23558,2419
2011,OR,14510,13387,1123
2011,PA,51578,48795,2783
2011,RI,3337,3158,179
2011,SC,22914,21528,1386
2011,SD,3535,3094,441
2011,TN,28479,26070,2409
2011,TX,172224,158036,14188
2011,UT,6879,6266,613
2011,VT,2053,1905,148
2011,VA,38130,35321,2809
2011,WA,17847,16452,1395
2011,WV,6826,6074,752
2011,WI,22657,21472,1185
2011,WY,2183,1944,239
2011,ST,1382606,1285099,97507
2011,US,1598968,1487561,111407
2011,FE,216362,202462,13900
2012,AL,32431,29782,2649
2012,AK,5633,4934,699
2012,AZ,40080,36447,3633
2012,AR,14654,13594,1060
2012,CA,134534,128436,6098
2012,CO,20462,18739,1723
2012,CT,17530,16312,1218
2012,DE,6914,6348,566
2012,DC,-16,-8,-8
2012,FL,101930,94945,6985
2012,GA,55457,51868,3589
2012,HI,5831,5143,688
2012,ID,7985,6977,1008
2012,IL,49348,46599,2749
2012,IN,28831,26265,2566
2012,IA,8733,7949,784
2012,KS,9682,8952,730
2012,KY,22110,19425,2685
2012,LA,40172,37783,2389
2012,ME,2108,1944,164
2012,MD,21522,20646,876
2012,MA,11308,10549,759
2012,MI,43636,41647,1989
2012,MN,9938,9228,710
2012,MS,22319,20652,1667
2012,MO,31247,28544,2703
2012,MT,3609,3210,399
2012,NE,4705,4352,353
2012,NV,12883,11845,1038
2012,NH,2790,2583,207
2012,NJ,23225,22164,1061
2012,NM,6727,6096,631
2012,NY,54210,51963,2247
2012,NC,37136,34675,2461
2012,ND,1512,1341,171
2012,OH,50876,47008,3868
2012,OK,25225,22728,2497
2012,OR,14840,13609,1231
2012,PA,51125,48380,2745
2012,RI,3318,3128,190
2012,SC,22388,21051,1337
2012,SD,3650,3227,423
2012,TN,28411,26048,2363
2012,TX,166372,152823,13549
2012,UT,6962,6323,639
2012,VT,2034,1907,127
2012,VA,37044,34150,2894
2012,WA,17271,15934,1337
2012,WV,7070,6265,805
2012,WI,22600,21375,1225
2012,WY,2204,1966,238
2012,ST,1352582,1257859,94723
2012,US,1570397,1461625,108772
2012,FE,217815,203766,14049
2013,AL,32381,29660,2721
2013,AK,5081,4450,631
2013,AZ,41177,37402,3775
2013,AR,17235,15904,1331
2013,CA,135981,129684,6297
2013,CO,20371,18556,1815
2013,CT,17563,16328,1235
2013,DE,7004,6405,599
2013,DC,-16,-8,-8
2013,FL,103028,95757,7271
2013,GA,54004,50445,3559
2013,HI,5632,4972,660
2013,ID,8242,7176,1066
2013,IL,48653,45737,2916
2013,IN,29913,27078,2835
2013,IA,8697,7983,714
2013,KS,9763,9026,737
2013,KY,21030,18717,2313
2013,LA,39299,37071,2228
2013,ME,2173,2013,160
2013,MD,21335,20410,925
2013,MA,10950,10143,807
2013,MI,43759,41700,2059
2013,MN,10289,9566,723
2013,MS,21969,20352,1617
2013,MO,31537,28755,2782
2013,MT,3642,3230,412
2013,NE,5026,4656,370
2013,NV,13056,11971,1085
2013,NH,3018,2781,237
2013,NJ,22452,21427,1025
2013,NM,6931,6276,655
2013,NY,53550,51193,2357
2013,NC,36922,34430,2492
2013,ND,1576,1419,157
2013,OH,51729,47579,4150
2013,OK,27547,24769,2778
2013,OR,15517,14212,1305
2013,PA,51422,48760,2662
2013,RI,3361,3169,192
2013,SC,22060,20669,1391
2013,SD,3682,3240,442
2013,TN,28521,26069,2452
2013,TX,168280,154450,13830
2013,UT,7077,6415,662
2013,VT,2078,1924,154
2013,VA,36982,34133,2849
2013,WA,17984,16535,1449
2013,WV,6824,6016,808
2013,WI,22471,21232,1239
2013,WY,2310,2050,260
2013,ST,1361084,1263895,97189
2013,US,1576950,1465592,111358
2013,FE,215866,201697,14169
2014,AL,31771,29182,2589
2014,AK,5216,4568,648
2014,AZ,42259,38295,3964
2014,AR,17874,16476,1398
2014,CA,136088,129706,6382
2014,CO,20646,18738,1908
2014,CT,16636,15510,1126
2014,DE,6955,6361,594
2014,DC,-16,-8,-8
2014,FL,102870,95567,7303
2014,GA,52949,49438,3511
2014,HI,5866,5198,668
2014,ID,8117,7080,1037
2014,IL,48278,45390,2888
2014,IN,29271,26396,2875
2014,IA,8838,8086,752
2014,KS,9663,8881,782
2014,KY,21657,19084,2573
2014,LA,38030,35955,2075
2014,ME,2242,2063,179
2014,MD,21011,20100,911
2014,MA,10713,9985,728
2014,MI,43390,41267,2123
2014,MN,10637,9901,736
2014,MS,18793,17448,1345
2014,MO,31942,28836,3106
2014,MT,3699,3311,388
2014,NE,5441,5001,440
2014,NV,12537,11452,1085
2014,NH,2963,2715,248
2014,NJ,21590,20571,1019
2014,NM,7021,6348,673
2014,NY,52518,50192,2326
2014,NC,37096,34455,2641
2014,ND,1718,1514,204
2014,OH,51519,47311,4208
2014,OK,27650,24799,2851
2014,OR,15075,13799,1276
2014,PA,50694,47936,2758
2014,RI,3359,3201,158
2014,SC,21401,20032,1369
2014,SD,3608,3199,409
2014,TN,28769,26160,2609
2014,TX,166043,151717,14326
2014,UT,7026,6364,662
2014,VT,1979,1823,156
2014,VA,37544,34529,3015
2014,WA,18120,16666,1454
2014,WV,6896,6065,831
2014,WI,22597,21219,1378
2014,WY,2383,2106,277
2014,ST,1350958,1251996,98962
2014,US,1561525,1448564,112961
2014,FE,210567,196568,13999
